Kevin Heffernan
John Heffron
John Hegley
Robert Hegyes
Tim Heidecker
Jesse Heiman
Hans-Joachim Heist
Simon Helberg
Grace Helbig
Emily Heller
Peter Helliar
Nick Helm
Katherine Helmond
Ed Helms
Greg Hemphill
Shirley Hemphill
Sherman Hemsley
Dickie Henderson
Christina Hendricks
Elaine Hendrix
Vic Henley
Marilu Henner
Carolyn Hennesy
Buck Henry
Ely Henry
Lenny Henry
Mike Henry
John Henton
Dai Henwood
Hugh Herbert
Christoph Maria Herbst
Martin Herlihy
Tim Herlihy
David Herman
Thomas Hermanns
Marcello Hernández
Mark Herras
Richard Herring
Edward Herrmann
Seth Herzog
Howard Hesseman
Bill Hicks
Ryan Higa
David Anthony Higgins
John Higgins
John Michael Higgins
Maeve Higgins
Steve Higgins
Jhong Hilario
Jess Hilarious
Dieter Hildebrandt
Amy Hill
Bec Hill
Benny Hill
Dave Hill
Dulé Hill
Ed Hill
Harry Hill
Jonah Hill
Martina Hill
Melinda Hill
Murray Hill
Thelma Hill
Tymberlee Hill
Jeff Hiller
Adam Hills
Tony Hinchcliffe
Cheryl Hines
Gregory Hines
Skip Hinnant
Michael Hitchcock
Thora Hird
Justin Hires
Judd Hirsch
Matt Hobby
Stephanie Hodge
Jessy Hodges
John Hodgman
Joel Hodgson
Jackie Hoffman
Robby Hoffman
Gaby Hoffmann
Steve Hofstetter
Chris Hogan
Hulk Hogan
Paul Hogan
Siobhan Fallon Hogan
Amy Hoggart
Corey Holcomb
Dominic Holland
Mary Holland
Judy Holliday
Vanessa Hollingshead
Stanley Holloway
Anders Holm
Chelsea Holmes
Dave Holmes
Eamonn Holmes
Jessica Holmes
Pete Holmes
Todd Holoubek
Lauren Holt
Helen Hong
James Hong
Brian Hooks
Jan Hooks
Sharon Horgan
Alex Horne
Kenneth Horne
Mathew Horne
Alex Kapp Horner
David Hornsby
Don Hornsby
Jane Horrocks
Lutz van der Horst
Edward Everett Horton
Richard Steven Horvitz
Frankie Howerd
Ken Howard
Kyle Howard
Ron Howard
Russell Howard
Shemp Howard
Kirby Howell-Baptiste
Glenn Howerton
Lil Rel Howery
Jeremy Hotz
Roy Hudd
Oliver Hudson
Rob Huebel
Akilah Hughes
Dave Hughes
Gregg Hughes
John Hughes
London Hughes
Sean Hughes
Steve Hughes
D. L. Hughley
Daniel Humbarger
Barry Humphries
Bonnie Hunt
Brendan Hunt
Bill Hunter
Reginald D. Hunter
David Huntsberger
Michelle Hurd
Carl Hurley
Elizabeth Hurley
